date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
12th Apr,HINDZINC,90.89,99.84,61.80,26.34,13.81,12.53,31.50,26.10,388.55,334.17,99.06,164.22,116.25,78.79,94.31,314.07,372.00,353.07,337.91,327.48,321.14,314.35,380.81,323.75,312.96,360.62,55.48,5.33,40.06,437.80,394.05,431.95,402
12th Apr,VEDL,85.70,99.28,65.42,22.71,14.30,8.41,23.44,20.26,3839.82,3665.47,94.77,187.40,148.77,113.28,129.67,270.89,333.12,318.19,304.71,293.47,283.75,267.61,344.52,299.77,288.71,327.60,51.98,7.09,33.15,374.90,360.80,372.95,365.55
12th Apr,EXIDEIND,83.51,99.36,57.42,18.14,8.28,9.86,23.23,20.12,642.46,536.24,89.68,87.46,54.57,27.11,35.00,329.09,360.82,346.97,336.79,330.47,325.09,288.05,367.97,320.21,319.45,348.74,52.76,9.30,32.05,403,380.50,398.15,383.55
12th Apr,HONAUT,82.66,99.40,64.61,1613.52,1104.30,509.22,1497.89,1417.92,260.35,202.34,95.67,97.71,84.06,69.94,71.52,38173.89,42308.28,41286.04,40318.71,39514.01,38887.38,38471.24,43558.64,39956.43,39154.92,40209.52,38.10,6.70,34.91,44549.85,43043,44292.25,43043
12th Apr,THERMAX,81.25,81.80,74.13,244.89,232.63,12.26,130.57,146.24,21.06,20.20,92.84,214.12,210.78,208.26,201.92,3580.64,4458.70,4342.84,4184.31,3993.91,3780.50,3136.96,4705.38,4352.44,4206.20,4100.55,31.08,6.56,50.66,4573.85,4503,4544.60,4503
12th Apr,HEG,77.99,96.81,63.54,137.48,102.22,35.26,119.57,105.51,194.42,188.92,86.99,218.97,197.31,168.35,180.33,1808,2178.41,2097.45,2012.88,1936.49,1876.27,1698.47,2239.88,2044.25,1890.98,2064.74,42.96,6.81,39.79,2449,2340.30,2362.60,2345
12th Apr,DMART,77.65,89.76,71.01,201.97,185.90,16.07,120.09,122.28,143.76,140.04,83.03,171.01,167.25,162.62,159.80,3899.65,4641.87,4543.75,4413.40,4270.05,4141.55,3905.78,4786.54,4569.77,4325.73,4380.54,33.92,5.70,49.42,4806.75,4725,4765.05,4753.90
12th Apr,QUESS,76.85,90.08,62.26,23.68,17.33,6.35,20.22,19.02,102.75,97.55,83.84,106.73,89.52,80.61,81.85,522.94,574.35,559.92,545.57,533.19,522.07,484.66,596.94,541.38,529.97,539.15,41.76,7.04,34.86,623.30,585.30,611.25,589
12th Apr,JUBLINGREA,76.80,95.52,56.51,18.44,8.80,9.64,23.45,18.71,87.03,74.38,91.87,68.78,42.13,16.76,32.32,474.27,505.67,491.89,481.44,474.82,470.85,462.59,510.74,467.04,464.00,479.59,39.43,7.61,27.95,575,533,551.85,542.70
12th Apr,HINDCOPPER,76.78,97.23,62.88,23.33,16.89,6.44,20.47,19.27,1857.25,1746.58,95.72,225.88,193.25,166.81,172.85,267.36,336.20,322.02,307.85,294.76,280.38,215.14,353.30,307.25,291.50,314.41,38.94,13.53,23.61,377,355,362.40,357.35
12th Apr,NUVAMA,75.54,91.00,64.63,309.53,253.59,55.93,229.38,217.20,4024.56,3497.24,91.69,208.00,186.39,174.53,180.25,4069.68,5050.99,4881.81,4688.07,4474.85,4234.21,3452.32,5298.86,4784.70,4681.85,4528.68,34.58,8.25,40.87,5475,5120,5414.55,5177.25
12th Apr,JBCHEPHARM,75.33,95.77,59.25,41.82,29.17,12.65,38.52,33.86,133.36,132.10,86.77,56.68,46.01,38.35,39.80,1687.50,1728.43,1702.01,1676.93,1658.11,1639.51,1479.44,1757.02,1656.55,1627.42,1634.53,31.61,11.58,20.63,1810,1736,1799.80,1759.95
12th Apr,BEL,75.27,95.16,64.07,8.87,6.79,2.08,7.13,6.98,6570.05,6340.57,96.44,111.24,99.24,93.02,93.36,194.19,223.88,218.71,213.27,207.46,200.14,165.41,233.26,214.61,212.46,211.78,35.80,12.69,29.87,235.40,230.55,233.50,231.30
12th Apr,KEI,75.15,90.53,61.77,146.56,105.33,41.23,134.02,112.45,135.28,133.67,81.54,117.18,99.28,87.37,92.44,3206.44,3716.05,3628.11,3538.50,3449.87,3353.27,2873.84,3773.69,3556.73,3473.38,3438.18,33.85,8.77,26.56,4043,3804.15,3992.55,3804.15
12th Apr,GLENMARK,75.10,90.31,65.46,33.04,27.54,5.50,23.78,23.57,416.67,412.07,88.72,106.01,101.90,100.29,97.94,885.02,1024.64,1006.99,986.16,962.39,935.31,814.63,1048.87,1006.11,981.39,969.61,29.07,8.88,25.76,1070,1031,1051.80,1043.35
12th Apr,TORNTPOWER,74.91,74.47,69.18,105.43,95.18,10.25,64.43,67.51,435.40,422.96,88.86,277.40,273.75,262.19,253.04,1124.36,1523.72,1471.03,1403.56,1327.20,1242.73,954.90,1610.73,1462.26,1384.36,1365.14,35.12,4.31,59.17,1615,1559.85,1581,1570.75
12th Apr,AARTIIND,74.86,94.24,59.30,20.15,12.73,7.42,20.72,17.46,183.57,175.51,100,60.34,43.90,30.37,38.12,672.46,711.12,697.82,685.90,675.18,660.99,601.25,723.56,675.99,678.51,677.68,31.04,8.66,26.23,753.90,731.15,750.95,732.20
12th Apr,INDUSTOWER,74.82,83.14,68.30,21.09,18.97,2.12,12.94,13.63,1383.06,1291.86,81.84,277.35,265.68,257.17,252.16,239.31,316.70,306.13,292.64,277.16,260.37,215.14,336.42,305.51,290.54,290.82,36.65,14.50,31.61,336,323.70,328.05,331.90
12th Apr,LLOYDSME,74.71,98.15,60.04,27.59,18.44,9.15,26.82,23.78,17.66,13.76,94.42,113.81,96.25,77.96,85.77,582.92,656.02,638.48,621.92,607.93,597.22,578.35,671.03,619.77,600.41,624.09,35.96,8.78,27.40,710,693,696.75,700
12th Apr,ABB,74.62,75.54,72.55,308.44,304.41,4.04,154.68,161.43,68.25,66.40,83.73,212.09,213.37,217.88,215.74,5021.07,6566.25,6431.34,6227.69,5956.08,5646.36,4755.69,6821.12,6618.72,6326.02,6195.06,37.60,10.76,50.78,6773.10,6642,6752.95,6650
12th Apr,SIEMENS,74.42,41.55,74.31,245.57,251.49,-5.92,103.58,127.32,117.36,116.21,87.29,185.91,186.58,187.30,180.87,4488.68,5545.42,5440.17,5277.90,5070.32,4829.62,4124.46,5821.41,5522.58,5321.48,5213.07,35.40,12.00,46.05,5690.10,5550,5577.45,5582.80
12th Apr,MOTILALOFS,74.25,80.69,61.50,113.53,77.05,36.48,105.77,100.95,76.03,75.24,93.39,154.67,131.14,98.12,101.89,1718.67,1936.23,1863.26,1795.68,1738.57,1670.13,1302.52,2028.39,1730.82,1728.44,1773.22,35.52,8.70,30.96,2076,2010.10,2057.50,2038
