date,symbol,1m-high,2m-high,3m-high,6m-high,1y-high,2y-high,3y-high,5y-high,10y-high,1m-low,2m-low,3m-low,6m-low,1y-low,2y-low,3y-low,5y-low,10y-low,1w-high,2w-high,1w-low,2w-low,d-high,d-low,d-close,d-open,d-1ago-high,d-1ago-low,d-2ago-high,d-2ago-low,w-low,w-high,w-open,w-close,75min-high,75min-low,75min-close,75min-open
12th Apr 2:15:00,MRF,147500,151445,151445,151445,151445,151445,151445,151445,151445,129614.60,136300,127257.10,106405,83325.75,65099.95,63000,49915.10,19816.10,137554.95,134000,134500,130700.05,133349.50,131500,131716.50,133000,133887.95,132250,133989.70,132679.09,130775.25,135799,134807,131716.50,132500,131500,131696.59,132346.25
12th Apr 2:15:00,HONAUT,39050,40165.90,40165.90,41150.05,44150,44347.15,49990,49990,49990,36271,36866.10,36271,34977.70,34649.15,30185.35,30185.35,20148.60,2939,42449,38948.95,38300.05,37101.25,44549.85,43043,44292.25,43043,44288,42470,43198.95,42480.05,41815,44549.85,41815,44292.25,44500,43785.85,43810,44300.05
12th Apr 2:15:00,PAGEIND,36122,37400,39757.95,42885,43570,54349.10,54349.10,54349.10,54349.10,33070.05,33965.25,33070.05,33070.05,33070.05,33070.05,27801,16254,5600,35332.10,34766.15,34075,34100,37299.85,35658.65,35803.55,37100,37550.10,36301.20,36420.90,34901,33814.85,37550.10,34371.95,35803.55,36343.70,35658.65,35700,36201.15
12th Apr 2:15:00,3MINDIA,32275,34587.15,39876.10,39876.10,39876.10,39876.10,39876.10,39876.10,39876.10,29203.40,30250.10,29203.40,28870,22125.25,17273,17273,15700,3411.05,31449.95,31657.45,29851.15,30179.85,30150,29501.10,29611.10,30150,30348.95,29770,30439.40,29956.45,29501.10,30556.45,30348.45,29611.10,29877.85,29501.10,29700,29835.60
12th Apr 2:15:00,BOSCHLTD,31150,29300,29300,29300,29300,29300,29300,29300,29300,28116,23589.25,22101,18600,17931.15,12932.45,12932.45,7850,7850,31145.10,31150,30050.10,29730.95,30225,29800,29849.40,29951.35,30345.30,29375.05,31292.80,29918.05,29375.05,31400.15,30980,29849.40,29960,29800.10,29882,29900
12th Apr 2:15:00,ABBOTINDIA,28800,29638.95,29638.95,29638.95,29638.95,29638.95,29638.95,29638.95,29638.95,26426.30,25701.10,22720,22000,20605.05,16200,14586.05,7160,1705,27700,27229.90,26428.25,26426.30,27275,26401,26444.65,26950,27238.90,26421,26694.85,26262,26262,27275,26783.80,26444.65,26615.95,26401,26499.95,26578.35
12th Apr 2:15:00,SHREECEM,26334.05,30737.75,30737.75,30737.75,30737.75,30737.75,32048,32048,32048,24243.60,25421.50,24243.60,24243.60,22605.60,17865.20,17865.20,15410,5450,26743.30,26334.05,25699,25058.35,25861.70,25201.45,25491.15,25699,26041.95,25551,26711.80,25880.10,25201.45,26711.80,26069.20,25491.15,25630,25201.45,25418.95,25629.95
12th Apr 2:15:00,PGHH,17050.90,17298,17659,19250,19250,19250,19250,19250,19250,15345.40,15366.75,15345.40,15345.40,13190.55,12801,12251.25,8400,3105.10,17000,17050.90,15973.65,16111,16098,15820,15953.60,16060,16327.70,15866,16329.45,16115.05,15820,16470,16347.55,15953.60,15999.70,15869.95,15870.50,15950
12th Apr 2:15:00,ZFCVINDIA,15888.95,16188.40,17700,17700,17700,17700,17700,17700,17700,13790.80,13977.45,13790.80,13790.80,9919.95,6876.50,5950,4750.05,1910,15380,15474.95,14705,14600,14590.45,14120,14180.20,14582,14649.75,14422.90,14688.50,14352.05,14120,14817.55,14736.50,14180.20,14250,14120,14193,14216.35
12th Apr 2:15:00,MARUTI,12726.80,11720,11720,11720,11720,11720,11720,11720,11720,11267.60,10204,9737.65,9737.65,8377.10,7062.35,6400,4001.10,1866,12689,12726.80,12318.05,12141.20,12660,12225,12266.55,12660,12958,12600.90,12985.70,12780,12225,12985.70,12450,12266.55,12356,12225,12269,12334.10
12th Apr 2:15:00,ULTRACEMCO,10183.85,10295,10526,10526,10526,10526,10526,10526,10526,9435.15,9703.95,9435.15,8045.05,7300,5157.05,5157.05,2910,1950.50,10277.70,9853.95,9749.15,9570,9850,9610,9652.55,9789.95,9858,9705.05,9993.80,9759.10,9610,9993.80,9852.95,9652.55,9719.65,9610,9620,9700.10
12th Apr 2:15:00,TATAINVEST,9756.85,7334.50,7334.50,7334.50,7334.50,7334.50,7334.50,7334.50,7334.50,5415,5151,4168.40,2885,1755.20,1215.95,980,591,450.65,7589.45,6243.95,6385,5415,7149.90,6905.05,6952.05,6930,7000,6700,7200,6850,6700,7450,7400,6952.05,7059.95,6930,7000,6968
12th Apr 2:15:00,SOLARINDS,9449,7148,7390,7832.90,7832.90,7832.90,7832.90,7832.90,7832.90,6751,6275,6275,4780.05,3453.35,2478.45,1200,773.05,172,9049,9449,8621,8668.40,8746.60,8431,8528.20,8703.60,8799,8601,8852.10,8651.45,8431,8852.10,8729.85,8528.20,8642,8431,8539.95,8635.75
12th Apr 2:15:00,BAJAJHLDNG,9288,9348.95,9348.95,9348.95,9348.95,9348.95,9348.95,9348.95,9348.95,7965.25,8251.30,7700,6627.90,5770,4294.05,3225.15,1460.15,988.55,8479.35,8509.80,8115,7965.25,8271.20,8106.10,8175.55,8187.95,8248.20,8104.20,8270,8153.50,8104.20,8271.20,8239.95,8175.55,8203.80,8166,8190,8199.90
12th Apr 2:15:00,BAJAJ-AUTO,9287.80,8650,8650,8650,8650,8650,8650,8650,8650,7945.30,7633.50,6560.95,4903.05,3888.20,3460,3027.05,1788.65,1788.65,9357.95,9287.80,8988.05,8851.05,9119,8930,9064.85,8949.05,9049.80,8901.35,9132.70,8936.40,8901.35,9132.70,9049,9064.85,9091.25,9030.35,9074.15,9053.90
12th Apr 2:15:00,OFSS,8894,8189.45,8189.45,8189.45,8189.45,8189.45,8189.45,8189.45,8189.45,7602.55,6381,4280,3868.80,3225.05,2883.25,2883.25,1506,1506,9023,8894,8702,8300,8349.85,8190,8204.20,8311,8474.70,8287.55,8757,8370.05,8190,8864,8850,8204.20,8238.35,8190,8200,8224.60
12th Apr 2:15:00,SANOFI,8788.80,9380,9380,9380,9380,9380,9380,9380,9380,7505,8590,7505,7160,5400,5202.10,5202.10,5202.10,2761.10,8839,8200,8071.50,7561.05,8626,8406.45,8468.20,8499,8590,8435,8688.30,8380.05,8380.05,8688.30,8637,8468.20,8599,8406.45,8495,8579.80
12th Apr 2:15:00,TATAELXSI,7993.20,7995,9200,9200,9200,10760,10760,10760,10760,7335,7350,7335,7172,5975.25,5709.05,2705,499.95,235.53,8195,7870,7645,7500.05,7898.80,7733,7753.75,7847,7956,7801,8009,7871,7733,8133.85,8120.05,7753.75,7794.50,7733,7758,7785.15
12th Apr 2:15:00,CERA,7715,8318.50,8743.45,9740,9740,9740,9740,9740,9740,6591.20,7330,6591.20,6591.20,6030,3515,3515,1986,815,7825,6989,6800,6760,7327.75,7121,7133.70,7195.20,7288.20,7175,7447.95,7213.55,7121,7577.70,7372.95,7133.70,7175,7121,7175,7150
12th Apr 2:15:00,DIXON,7580,7048,7048,7048,7048,7048,7048,7048,NaN,6503.50,6051.10,5782.85,5028,2820,2553,2553,312,NaN,7950,7580,7480.05,7108.70,7983,7800,7845.40,7839,7863,7692.45,7878.30,7590,7590,7983,7682.05,7845.40,7902.95,7811.65,7829.95,7902.95
12th Apr 2:15:00,POWERINDIA,7450,6520,6520,6520,6520,6520,6520,NaN,NaN,6005.05,5665,5274.45,3895.90,3030.10,2750.10,1353.10,NaN,NaN,7249.95,7183.60,6814.40,6885.35,7583.50,7291.15,7343.85,7514.80,7845.30,7470.05,7879.45,7550.05,7145.10,7879.45,7145.10,7343.85,7509.45,7291.15,7296.40,7477
12th Apr 2:15:00,APARINDS,7400,6541.55,6541.55,6541.55,6541.55,6541.55,6541.55,6541.55,6541.55,5503.85,5785.05,5151,4545.65,2472,556.25,441,239.20,136.80,7447,7400,6779,6350.10,7153,6945,6961.60,7153,7275.20,6940,7423.80,7161,6940,7423.80,7346,6961.60,7002.90,6945,6973,6984.35
12th Apr 2:15:00,BAJFINANCE,7349.30,6910,7830,8192,8192,8192,8192,8192,8192,6187.80,6366.20,6187.80,6187.80,5632.20,5220,4362,1783,166.16,7350,7349.30,7135,6745,7264,7156.30,7229.55,7224,7254,7160,7235.35,7124.50,7124.50,7264,7215,7229.55,7249.85,7206,7210,7237.40
12th Apr 2:15:00,LINDEINDIA,6969,5884,6040,6790,6790,6790,6790,6790,6790,5399.05,5365.70,5325,5325,3855.55,2710,1526.85,401,238.20,7300,6599.90,6360,6350,7045,6763,6795,6985,7047.90,6762.60,7045,6825,6732.70,7099,6782.15,6795,6876.25,6763,6789.95,6867.60
12th Apr 2:15:00,GILLETTE,6809,6923.90,7335.65,7335.65,7335.65,7335.65,7335.65,8140,8140,6317.65,6381.50,6317.65,5956.05,4222.55,4135.25,4135.25,4135.25,1850,6742,6799.95,6510,6497,6599,6391.20,6409.05,6571.35,6625.45,6540,6638.40,6546.70,6391.20,6656.35,6656.30,6409.05,6492.35,6391.20,6409,6478.25
