date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
12th Apr 2:15:00,HINDZINC,86.15,82.99,86.18,21.33,19.68,1.65,13.02,12.08,226.95,216.95,96.44,220.25,212.24,199.38,206.86,323.25,413.47,403.32,389.48,372.51,354.85,323.55,425.51,408.84,391.45,397.79,46.27,3.72,73.75,437.80,427.75,431.10,434.50
12th Apr 2:15:00,EXIDEIND,82.93,97.81,77.79,12.86,13.88,-1.01,5.28,4.64,379.18,355.06,44.30,175.62,173.17,174.49,176.39,315.65,387.62,382.88,374.08,361.59,348.31,327.57,389.26,396.79,377.62,373.90,50.17,4.72,68.82,403,388.65,398.45,389.40
12th Apr 2:15:00,KSB,81.41,73.74,76.49,100.40,100.72,-0.320,46.10,53.06,10996.92,10905.42,86.35,89.33,87.00,84.95,83.65,3889.01,4323.75,4279.50,4213.50,4131.62,4041.12,3833.54,4423.63,4300.20,4220.16,4196.42,40.44,7.48,51.81,4370,4337.10,4355,4340.05
12th Apr 2:15:00,VEDL,79.60,84.26,78.93,14.46,14.30,0.156,7.16,7.51,1691.17,1648.32,81.97,165.42,160.80,159.14,159.69,298.29,364.25,357.90,348.37,335.84,321.62,289.23,376.77,364.22,353.79,350.72,48.05,5.95,71.13,374.90,366.55,372.80,367.40
12th Apr 2:15:00,FLUOROCHEM,79.12,81.78,69.28,95.92,74.36,21.56,76.32,76.04,13.60,13.38,84.88,82.13,75.22,66.86,67.55,3178.90,3503.79,3448.63,3389.37,3332.59,3291.78,3337.98,3576.80,3412.21,3347.35,3406.38,35.16,4.40,48.50,3600,3571.80,3585,3582.20
12th Apr 2:15:00,AEGISCHEM,78.19,92.80,68.04,9.84,8.27,1.57,7.10,6.30,138.92,136.39,80.41,66.16,58.68,53.35,55.87,430.27,465.93,460.69,454.49,447.15,438.60,417.50,473.86,457.56,457.66,450.88,46.14,10.13,51.60,485,470,480,471.25
12th Apr 2:15:00,CROMPTON,78.05,96.23,68.30,3.55,2.85,0.699,2.87,2.45,30.42,22.21,81.74,39.39,36.22,34.37,36.42,277.88,294.23,292.35,290.10,287.17,284.17,284.76,294.57,293.42,292.66,289.26,33.04,16.06,26.72,301,296.95,299.30,297.20
12th Apr 2:15:00,CDSL,77.74,93.06,66.67,36.19,25.49,10.70,32.96,31.45,165.57,159.87,93.48,46.55,42.67,37.11,38.14,1845.86,1963.02,1941.08,1919.06,1894.27,1866.80,1830.56,1984.29,1926.02,1934.40,1917.25,41.35,9.10,39.91,2020,1991.50,2001,1998.85
12th Apr 2:15:00,AARTIIND,76.73,83.84,70.62,14.44,12.36,2.07,9.81,9.93,131.76,129.37,88.57,60.19,56.63,53.44,53.80,683.70,740.27,732.72,723.58,712.71,700.30,670.37,752.71,731.31,727.21,719.57,32.39,11.31,38.13,753.90,746,752,747.80
12th Apr 2:15:00,JBCHEPHARM,76.55,84.48,70.31,24.75,20.76,3.98,18.00,16.85,70.44,70.15,88.73,44.53,41.71,38.46,39.64,1674.22,1777.80,1764.83,1749.14,1729.50,1705.15,1649.30,1792.29,1765.62,1757.73,1740.46,31.75,10.59,37.08,1805.55,1789.95,1800,1801.75
12th Apr 2:15:00,ACI,76.44,95.82,52.43,15.00,6.93,8.07,18.56,17.24,15.00,12.01,94.50,28.60,15.68,2.54,5.25,659.63,671.69,660.06,651.74,647.44,645.74,652.60,684.20,631.84,637.78,657.70,46.34,8.88,33.40,704.90,691.20,696.20,692.20
12th Apr 2:15:00,HEG,76.28,68.10,73.68,80.36,77.46,2.90,41.13,46.95,86.41,85.10,69.88,126.94,124.81,122.79,120.31,2016.78,2345.44,2308.24,2255.96,2191.12,2115.97,1911.45,2429.86,2324.00,2270.26,2214.18,37.53,5.71,70.64,2375,2348.40,2374,2362.50
12th Apr 2:15:00,KEI,74.85,68.77,68.78,99.95,84.33,15.62,70.18,72.46,60.12,59.78,67.46,86.22,81.37,76.25,76.37,3513.28,3932.96,3880.29,3817.04,3743.51,3659.86,3417.82,4000.69,3884.69,3808.15,3827.94,43.00,12.07,35.56,4003,3980,3989,4002
12th Apr 2:15:00,JUBLINGREA,74.00,55.66,72.21,20.51,17.75,2.76,13.22,14.91,83.83,77.61,90.32,127.12,122.19,115.89,112.69,471.05,545.04,534.28,521.32,507.13,493.22,471.43,567.31,532.88,517.86,522.11,39.58,9.06,53.65,555.10,550,552.85,551.75
12th Apr 2:15:00,VTL,73.80,85.91,64.87,5.67,4.70,0.967,4.03,4.16,40.43,40.22,68.61,37.55,34.68,31.01,31.05,452.21,466.47,463.39,459.84,455.73,450.75,435.54,471.54,461.38,461.23,454.05,31.36,15.46,26.77,472.45,468.60,470.15,470
