date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
1st Apr,ANANDRATHI,97.76,99.92,85.07,806.88,568.11,238.76,732.17,685.25,19.15,7.78,100,NaN,NaN,NaN,NaN,NaN,3008.70,2510.21,2021.99,1599.24,1271.98,799.34,3550.70,0,0,2718.30,57.69,0.951,69.69,4125,3424,4009.05,3749
1st Apr,TRENT,92.59,99.87,78.90,709.55,519.89,189.65,618.48,578.71,558.71,460.19,95.49,1726.45,1607.15,1476.44,1486.90,904.49,3258.62,2836.20,2401.78,1974.56,1569.51,699.60,3686.97,2536.90,2126.62,2911.61,52.36,3.73,64.46,4113.95,3843,4053.85,3974.95
1st Apr,MEDANTA,92.46,90.09,94.82,223.57,157.47,66.10,203.26,189.86,117.85,70.71,85.13,NaN,NaN,NaN,NaN,NaN,1128.84,990.87,855.52,738.40,648.16,519.14,0,0,0,926.57,36.61,3.88,65.17,1448,1301.75,1398.30,1338.95
1st Apr,HAL,92.18,98.41,82.27,619.68,484.06,135.62,501.78,460.26,905.17,647.30,96.93,2378.26,2289.36,2220.68,2220.97,NaN,2876.51,2527.28,2141.50,1745.95,1389.91,816.75,3198.98,2406.44,0,2615.99,52.21,2.63,77.02,3677.55,3362.10,3638.10,3392
1st Apr,ACE,91.94,98.30,80.16,280.90,205.66,75.25,248.78,220.00,829.98,759.15,91.87,3367.19,3153.88,2908.08,3015.54,194.64,1109.57,942.75,770.48,605.26,459.90,197.24,1246.69,821.65,627.95,1058.27,55.27,3.81,59.85,1695,1440.05,1490.60,1440.05
1st Apr,KSB,91.42,99.73,80.56,648.36,538.36,110.00,476.95,442.81,62.81,54.02,86.04,1633.04,1620.44,1612.17,1616.76,1030.25,3572.03,3225.78,2816.49,2366.71,1925.58,952.26,3980.05,3217.49,2666.14,2816.66,41.99,6.70,60.47,4451.10,3835,4356.70,3882.65
1st Apr,CHALET,90.93,93.31,79.16,143.37,111.58,31.79,115.44,109.86,180.05,135.45,100,1698.40,1641.57,1567.72,1542.65,NaN,738.72,657.15,568.17,481.66,410.69,312.82,828.25,624.62,0,586.14,34.64,7.83,57.78,917.15,842.55,875.75,900.75
1st Apr,APARINDS,90.92,91.61,85.79,1441.34,1271.89,169.44,925.68,942.28,114.35,98.22,93.24,5837.50,5897.62,5877.26,5716.48,619.19,6002.04,5262.98,4345.50,3390.92,2548.54,1073.63,7215.82,5127.35,3613.22,4485.49,37.17,1.12,76.51,7447,6779,6961.60,7060
1st Apr,BEL,90.68,94.70,82.20,34.23,26.41,7.82,28.34,25.50,29.72,27.89,96.34,1455.41,1405.59,1396.13,1389.23,54.38,185.38,165.99,144.70,122.07,100.07,51.49,202.43,160.81,136.27,157.09,46.26,4.36,62.54,235.40,203.75,233.50,205
1st Apr,KPIL,90.41,99.36,72.75,156.56,106.70,49.86,152.82,127.17,439.74,392.09,83.58,1005.68,888.10,773.91,831.91,375.98,890.47,793.68,698.64,610.01,531.33,325.86,928.81,722.26,604.17,802.62,48.38,4.80,47.96,1220.90,1058.05,1169.20,1079
1st Apr,SCHNEIDER,89.71,98.09,73.55,140.84,95.79,45.04,136.15,117.78,419.14,311.21,95.15,2830.96,2517.85,2102.95,2258.27,112.76,549.57,461.77,376.59,300.31,239.48,142.00,603.48,382.88,287.49,547.73,58.09,3.89,56.02,857.85,755,761.45,774
1st Apr,OIL,89.59,99.75,70.53,93.39,60.38,33.01,95.02,82.27,791.98,235.15,94.29,1216.88,1093.70,960.45,1016.86,183.03,467.22,407.42,351.38,301.19,262.34,226.42,496.46,355.25,298.70,414.54,45.92,3.62,50.55,669.50,582.50,611.05,606.30
1st Apr,BHEL,89.04,97.65,72.80,48.61,35.33,13.28,42.55,40.09,23.40,20.02,96.58,2110.88,1972.52,1809.15,1781.60,63.17,205.28,175.95,146.31,120.24,102.95,103.82,237.23,150.62,111.99,171.91,47.80,4.43,49.76,269.20,247.45,262.50,249
1st Apr,NTPC,88.97,98.30,75.33,51.61,40.28,11.33,41.23,39.33,2.85,1.15,90.82,1055.31,999.16,957.49,940.07,121.72,305.26,275.93,243.91,212.29,185.32,140.21,340.44,263.04,217.30,268.46,45.52,2.17,63.83,374.50,336.15,361.75,339
1st Apr,TORNTPOWER,88.79,98.42,71.14,224.87,145.60,79.28,229.75,189.46,942.91,821.99,100,1114.16,939.79,802.68,875.15,468.51,1119.72,975.81,840.93,715.88,599.52,339.47,1197.97,836.03,744.99,1015.39,49.16,3.23,52.94,1633,1386.05,1581,1399
1st Apr,PHOENIXLTD,88.60,95.28,79.46,432.47,333.62,98.85,355.67,327.67,198.13,150.32,93.53,1189.67,1133.32,1083.25,1081.15,910.01,2471.87,2225.94,1957.43,1675.17,1394.96,761.79,2712.20,2143.16,1827.24,1986.15,35.72,3.04,59.70,3140,2781,2996.70,2782.80
1st Apr,CHENNPETRO,88.52,90.57,74.81,180.48,141.86,38.63,140.74,140.82,1517.54,1257.37,89.58,3106.01,3010.40,2843.55,2818.27,262.45,756.59,653.71,541.90,437.54,356.85,232.45,899.05,596.87,414.11,602.29,46.49,8.14,58.28,967.65,885.30,895.80,910
1st Apr,KALYANKJIL,88.46,95.78,75.01,87.14,68.35,18.78,68.16,67.18,1164.66,783.42,93.00,3298.53,3213.72,2996.53,2956.40,NaN,351.96,302.05,248.18,198.09,157.41,96.21,423.60,0,0,281.29,39.07,4.94,57.24,449.70,412.70,427.75,437.95
1st Apr,MAXHEALTH,87.17,98.63,77.99,117.77,96.29,21.47,89.45,82.75,574.23,292.85,75.86,1288.49,1282.17,1297.91,1319.40,NaN,740.47,677.26,602.99,516.15,423.33,226.62,801.24,0,0,573.31,40.42,9.39,63.30,894.80,801,870.45,833.40
1st Apr,EIHOTEL,86.97,98.69,68.90,71.42,46.80,24.62,72.31,60.95,656.03,509.87,89.21,1378.03,1247.33,1106.35,1146.76,143.18,354.25,309.00,265.97,227.41,196.22,134.51,371.42,275.06,215.92,309.01,45.64,4.90,42.97,502.20,446.50,475.35,464.75
1st Apr,VBL,86.63,84.71,83.16,244.53,209.45,35.08,167.95,169.33,1406.84,1182.67,93.86,2354.73,2354.32,2350.95,2294.13,251.74,1226.36,1098.88,943.68,772.32,604.19,270.40,1387.16,1098.76,375.39,1024.45,47.64,4.19,70.23,1544.95,1380,1385.85,1408
1st Apr,BAJAJ-AUTO,86.57,93.93,70.55,1291.36,891.81,399.55,1208.88,1103.52,392.85,334.45,95.71,808.98,719.25,599.69,633.91,3381.03,7444.93,6642.44,5861.94,5150.62,4516.30,2816.60,8133.88,5850.66,5180.42,7134.48,50.96,4.88,39.98,9357.95,8901.35,9064.85,9194.80
1st Apr,ABB,86.56,98.32,74.55,904.18,707.33,196.85,754.24,626.08,390.32,356.33,83.73,1364.47,1334.92,1270.35,1317.26,1814.80,5363.49,4863.28,4296.32,3669.59,3049.07,1676.65,5591.30,4851.70,4110.33,4896.55,45.10,5.99,57.82,6773.10,6372.65,6752.95,6422.45
1st Apr,DLF,86.36,96.99,72.12,140.90,105.07,35.83,119.49,114.52,482.97,44.43,94.14,1097.93,1051.58,1009.00,978.95,323.35,769.74,686.82,600.30,513.69,431.85,345.22,861.11,628.59,557.06,686.53,45.91,5.20,45.23,967.60,883.60,908.60,904
