date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
8th Apr,TORNTPOWER,87.22,98.54,75.89,165.12,130.34,34.77,135.61,114.14,837.74,780.84,87.29,679.37,631.63,594.81,614.73,664.27,1333.49,1242.80,1139.10,1022.07,901.42,607.59,1380.08,1240.24,1120.63,1189.74,42.50,4.92,59.75,1633,1490,1581,1504.90
8th Apr,KPIL,83.94,95.46,73.20,125.06,105.86,19.20,87.43,85.27,313.55,305.86,96.88,566.43,536.33,496.68,502.44,619.35,1060.07,993.54,914.68,830.42,745.33,534.75,1161.92,969.04,877.42,905.94,38.69,3.62,53.85,1220.90,1140.95,1169.20,1164.05
8th Apr,CUMMINSIND,83.84,88.71,76.96,302.76,267.79,34.97,193.36,197.23,318.60,304.53,82.43,507.26,486.64,463.05,452.63,1725.24,2860.55,2705.57,2512.91,2304.43,2086.52,1430.18,3123.44,2660.16,2408.98,2547.88,34.07,5.29,55.52,3099,2922.55,3060.20,3044.85
8th Apr,EIHOTEL,83.81,86.50,75.71,58.07,51.23,6.85,37.59,37.30,556.00,525.74,89.65,753.27,721.81,679.90,683.86,230.86,433.83,404.11,367.13,327.14,287.64,196.54,481.33,395.67,349.26,369.90,45.39,9.53,54.21,502.20,471.60,475.35,480
8th Apr,SIEMENS,83.79,87.38,72.08,443.99,337.86,106.14,371.35,342.41,467.94,460.36,95.97,319.65,294.96,263.24,267.38,3694.35,5105.65,4848.76,4574.71,4295.74,3997.49,2912.65,5335.83,4652.85,4416.91,4815.98,42.92,3.70,53.72,5737.45,5550,5577.45,5678
8th Apr,VOLTAS,82.45,96.06,68.54,82.98,66.51,16.48,67.79,52.28,2002.74,1957.33,82.25,305.62,277.50,257.85,273.47,842.05,1152.15,1107.07,1054.75,1000.87,961.12,890.17,1166.19,1102.28,1015.61,1113.55,47.47,6.40,46.66,1392,1294.60,1309.35,1310
8th Apr,COCHINSHIP,82.33,90.97,76.35,116.32,105.25,11.07,76.76,63.79,1018.25,871.92,83.93,902.99,910.56,923.95,933.94,453.92,953.49,898.13,822.46,724.28,613.60,360.80,980.51,946.16,852.55,839.16,40.43,12.82,51.45,1170.90,1081.40,1096.55,1105.05
8th Apr,ABB,82.31,94.89,69.27,570.87,413.60,157.27,507.71,464.51,164.07,152.72,88.31,333.17,296.26,260.78,270.97,4118.88,6046.01,5704.80,5355.71,4992.72,4581.23,3124.17,6337.22,5437.70,5265.09,5494.33,39.35,6.55,44.92,6773.10,6495.65,6752.95,6670
8th Apr,ZOMATO,81.77,93.85,74.82,19.41,17.00,2.42,13.13,12.32,10.47,8.57,78.59,620.71,603.47,590.64,599.58,91.95,174.87,165.14,152.69,137.35,121.46,105.63,185.86,169.13,157.45,153.36,38.52,9.93,49.93,199.70,188.75,192.10,191.60
8th Apr,JIOFIN,81.48,93.36,69.87,36.27,29.45,6.82,26.83,26.82,1390.35,909.55,95.11,506.50,489.44,468.98,482.87,NaN,343.03,322.82,300.24,278.42,259.82,229.58,375.08,0,0,296.84,40.06,3.90,51.41,378.85,365.40,372.20,376
