symbol,allPoints,allRank,d_IndicatorPoints,d_Rank,d_adxPoints,d_emaPoints,d_kstPoints,d_macdPoints,d_rsiPoints,d_volumePoints,hl_BreakoutPoints,m_IndicatorPoints,m_Rank,m_adxPoints,m_emaPoints,m_kstPoints,m_macdPoints,m_rsiPoints,m_volumePoints,min75_Rank,min75_adxPoints,min75_emaPoints,min75_kstPoints,min75_macdPoints,min75_rsiPoints,min75_volumePoints,w_IndicatorPoints,w_Rank,w_adxPoints,w_emaPoints,w_kstPoints,w_macdPoints,w_rsiPoints,w_volumePoints
BEL,835,1,100,1,17,64,2,2,9,6,93,100,1,26,65,2,2,9,6,1,24,61,2,2,7,4,212,1,21,69,2,2,8,4
TORNTPOWER,834,2,105,1,24,63,2,2,8,6,90,79,1,26,65,2,2,9,6,1,20,59,-3,2,0,1,230,1,26,70,2,2,9,6
ABB,833,3,100,1,24,63,-3,2,8,6,93,92,1,26,65,2,2,9,6,1,17,61,2,2,6,4,218,1,21,69,2,2,9,6
KSB,823,4,97,1,16,63,2,2,8,6,92,108,1,26,65,2,2,9,6,1,26,63,2,2,9,6,196,1,18,69,-2,2,8,3
MOTILALOFS,823,5,100,1,19,63,2,2,8,6,90,92,1,21,65,2,2,9,6,1,20,64,-2,2,4,4,226,1,24,70,2,2,9,6
THERMAX,823,6,106,1,24,63,2,2,9,6,87,80,1,26,65,2,2,9,6,1,19,59,-3,3,2,0,220,1,23,69,2,2,9,5
EXIDEIND,822,7,105,1,23,63,2,2,9,6,93,101,1,21,65,2,2,9,6,1,28,63,-2,2,9,1,208,1,21,69,-2,2,9,5
CUMMINSIND,820,8,92,1,18,64,-2,2,5,5,90,92,1,28,65,2,2,9,4,1,15,63,2,2,5,5,216,1,24,65,2,2,9,6
HAL,820,9,99,1,17,64,2,2,8,6,78,91,1,28,65,2,2,9,6,1,18,61,-2,2,8,4,216,1,21,70,2,2,9,4
KEI,815,10,99,1,17,63,2,2,9,6,93,99,1,24,65,2,2,9,6,1,21,63,2,2,7,4,200,1,16,69,2,2,8,3
HINDZINC,808,11,106,1,25,62,2,2,9,6,93,105,1,17,66,2,2,8,3,1,26,63,2,2,6,6,210,1,18,69,2,2,9,5
SUNDARMFIN,808,12,98,1,17,63,2,2,8,6,91,88,1,21,65,2,2,9,6,1,23,63,-2,2,3,-1,216,1,24,69,2,2,8,3
PHOENIXLTD,806,13,95,1,15,63,2,2,8,5,92,99,1,24,65,2,2,9,6,1,26,61,2,2,6,2,196,1,20,69,-2,2,8,1
TATAPOWER,806,14,97,1,16,63,2,2,8,6,92,98,1,21,65,-2,2,9,6,1,24,63,2,2,2,5,216,1,23,69,2,2,8,4
BLUESTARCO,801,15,96,1,19,64,2,2,4,5,88,65,1,26,65,2,2,9,6,1,18,47,-3,0,-2,5,222,1,24,69,2,2,8,6
KPIL,800,16,96,1,20,63,2,2,4,5,87,75,1,23,64,2,2,9,6,1,19,55,-3,2,-2,4,224,1,24,69,2,2,9,6
GAIL,795,17,95,1,16,63,2,2,7,5,89,74,1,21,65,2,2,9,6,1,19,55,-3,0,0,3,222,1,24,69,2,2,9,5
GODREJPROP,794,18,102,1,21,63,2,2,8,6,90,81,1,19,65,2,2,8,5,1,21,59,-3,2,1,1,218,1,23,69,2,2,8,5
AEGISCHEM,794,19,98,1,17,63,2,2,8,6,93,108,1,15,65,2,2,8,5,1,26,63,2,2,9,6,204,1,16,69,2,2,8,5
SIEMENS,790,20,98,1,21,63,1,2,5,6,85,49,1,26,65,2,2,9,6,1,14,47,-3,-2,-3,-4,228,1,26,69,2,2,9,6
SAIL,789,21,97,1,16,63,2,2,8,6,92,94,1,16,65,2,2,9,6,1,21,61,-2,2,8,4,206,1,17,69,2,2,8,5
TATAMOTORS,789,22,88,1,13,63,-3,2,7,6,85,83,1,23,65,2,2,9,6,1,16,61,1,2,2,1,212,1,26,65,2,2,6,5
DIXON,788,23,101,1,19,64,2,2,8,6,72,79,1,23,65,2,2,8,6,1,18,55,2,2,-1,3,218,1,21,69,2,2,9,6
NTPC,788,24,98,1,17,63,2,2,8,6,87,69,1,26,65,2,2,9,6,1,21,55,-3,0,-2,-2,204,1,24,69,-3,2,5,5
INDIGO,787,25,101,1,21,64,2,2,7,5,77,79,1,21,65,2,2,9,5,1,24,55,2,2,-2,-2,218,1,21,69,2,2,9,6
BSE,783,26,99,1,19,63,2,2,7,6,74,74,1,26,65,2,2,9,6,1,18,55,-3,2,-1,3,206,1,21,70,-3,2,8,5
PETRONET,782,27,100,1,19,63,2,2,8,6,92,95,1,14,65,2,2,8,4,1,21,63,2,2,2,5,210,1,19,69,2,2,8,5
CENTURYTEX,781,28,97,1,17,63,2,2,7,6,90,63,1,21,65,2,2,9,6,1,18,49,-3,0,-2,1,216,1,21,69,2,2,8,6
MAHLIFE,779,29,100,1,19,63,2,2,8,6,90,92,1,21,65,-3,2,8,6,1,16,61,2,2,7,4,200,1,15,69,2,2,8,4
M&M,779,30,97,1,18,63,2,2,7,5,90,69,1,21,65,2,2,9,6,1,18,55,-3,0,0,-1,208,1,19,69,2,2,8,4
JSWENERGY,778,31,97,1,17,63,2,2,8,5,90,78,1,21,65,-3,2,9,5,1,21,55,-3,2,-1,4,216,1,21,69,2,2,9,5
MCDOWELL-N,778,32,91,1,13,63,2,2,5,6,92,92,1,18,65,2,2,8,6,1,16,63,2,2,4,5,200,1,18,70,-2,2,8,4
COCHINSHIP,776,33,97,1,17,63,2,2,7,6,70,61,1,26,65,2,2,9,6,1,20,47,-3,0,-2,-1,218,1,26,69,-3,2,9,6
BAJAJ-AUTO,775,34,85,1,18,62,-3,2,3,3,79,87,1,23,64,2,2,9,6,1,12,63,2,2,4,4,206,1,24,66,2,2,4,5
GLENMARK,771,35,98,1,16,63,2,2,9,6,75,88,1,19,65,2,2,9,5,1,21,61,-3,2,3,4,204,1,16,69,2,2,9,4
CASTROLIND,769,36,95,1,15,63,2,2,7,6,75,82,1,19,65,2,2,8,5,1,19,59,-3,2,1,4,214,1,21,69,2,2,8,5
EICHERMOT,768,37,99,1,19,63,2,2,8,5,92,94,1,15,65,2,2,8,3,1,21,63,1,2,2,5,198,1,13,70,2,2,8,4
HEG,766,38,103,1,21,63,2,2,9,6,54,104,1,15,65,2,2,8,5,1,24,64,2,2,8,4,214,1,21,69,2,2,8,5
IRCTC,766,39,98,1,17,63,2,2,8,6,55,100,1,23,66,-3,2,8,5,1,21,63,2,2,7,5,210,1,21,69,2,2,8,3
TATAMTRDVR,762,40,87,1,13,63,-3,2,6,6,82,68,1,25,65,2,2,9,6,1,15,55,-3,2,-1,0,198,1,24,66,-3,2,5,5
DATAPATTNS,760,41,97,1,16,63,2,2,8,6,49,102,1,21,65,-2,2,8,6,1,24,63,2,2,5,6,212,1,19,69,2,2,8,6
ANANDRATHI,756,42,94,1,16,64,2,2,7,3,47,97,1,28,65,-2,2,9,6,1,21,63,2,2,8,1,194,1,24,65,-3,2,6,3
HINDCOPPER,756,43,98,1,16,63,2,2,9,6,90,97,1,23,44,2,2,9,5,1,26,64,-2,2,4,3,216,1,21,70,2,2,9,4
VGUARD,754,44,92,1,12,63,2,2,7,6,87,78,1,15,65,2,2,8,5,1,21,55,-3,2,-1,4,206,1,15,70,2,2,8,6
INDHOTEL,747,45,68,1,-7,64,-2,2,6,5,88,53,1,26,65,2,2,9,6,1,-15,61,2,2,5,-2,208,1,21,65,2,2,9,5
IPCALAB,745,46,97,1,16,63,2,2,8,6,54,85,1,19,65,2,2,8,5,1,20,59,-2,2,1,5,206,1,20,69,-2,2,8,6
