symbol,allRank,allPoints,d_IndicatorPoints,d_Rank,d_adxPoints,d_allPoints,d_emaPoints,d_kstPoints,d_macdPoints,d_rsiPoints,d_volumePoints,hl_BreakoutPoints,m_IndicatorPoints,m_Rank,m_adxPoints,m_allPoints,m_emaPoints,m_kstPoints,m_macdPoints,m_rsiPoints,m_volumePoints,min75_IndicatorPoints,min75_Rank,min75_adxPoints,min75_allPoints,min75_emaPoints,min75_kstPoints,min75_macdPoints,min75_rsiPoints,min75_volumePoints,w_IndicatorPoints,w_Rank,w_adxPoints,w_allPoints,w_emaPoints,w_kstPoints,w_macdPoints,w_rsiPoints,w_volumePoints
HINDZINC,1,1139,318,225,25,411,62,2,2,9,6,93,98,227,17,191,66,2,2,8,3,420,225,26,513,63,2,2,6,6,210,226,18,303,69,2,2,9,5
EXIDEIND,2,1125,315,1,23,408,63,2,2,9,6,93,105,1,21,198,65,2,2,9,6,404,1,28,497,63,-2,2,9,1,208,2,21,301,69,-2,2,9,5
KSB,3,1121,291,449,16,383,63,2,2,8,6,92,110,449,26,202,65,2,2,9,6,432,449,26,524,63,2,2,9,6,196,451,18,288,69,-2,2,8,3
AEGISCHEM,4,1120,294,35,17,387,63,2,2,8,6,93,97,36,15,190,65,2,2,8,5,432,33,26,525,63,2,2,9,6,204,35,16,297,69,2,2,8,5
BEL,5,1115,300,33,17,393,64,2,2,9,6,93,110,33,26,203,65,2,2,9,6,400,34,24,493,61,2,2,7,4,212,34,21,305,69,2,2,8,4
KEI,6,1094,297,289,17,390,63,2,2,9,6,93,108,289,24,201,65,2,2,9,6,396,289,21,489,63,2,2,7,4,200,291,16,293,69,2,2,8,3
TATAPOWER,7,1092,291,257,16,383,63,2,2,8,6,92,101,258,21,193,65,-2,2,9,6,392,257,24,484,63,2,2,2,5,216,257,23,308,69,2,2,8,4
HEG,8,1090,309,353,21,363,63,2,2,9,6,54,97,355,15,151,65,2,2,8,5,416,353,24,470,64,2,2,8,4,214,354,21,268,69,2,2,8,5
MOTILALOFS,9,1089,300,385,19,390,63,2,2,8,6,90,105,385,21,195,65,2,2,9,6,368,385,20,458,64,-2,2,4,4,226,385,24,316,70,2,2,9,6
ABB,10,1089,300,34,24,393,63,-3,2,8,6,93,110,34,26,203,65,2,2,9,6,368,36,17,461,61,2,2,6,4,218,33,21,311,69,2,2,9,6
VEDL,11,1087,315,419,23,360,63,2,2,9,6,45,85,420,10,130,66,-2,2,8,1,432,417,26,477,63,2,2,9,6,210,420,18,255,69,2,2,9,5
PHOENIXLTD,12,1077,285,481,15,377,63,2,2,8,5,92,108,481,24,200,65,2,2,9,6,396,481,26,488,61,2,2,6,2,196,482,20,288,69,-2,2,8,1
PETRONET,13,1077,300,97,19,392,63,2,2,8,6,92,95,98,14,187,65,2,2,8,4,380,97,21,472,63,2,2,2,5,210,97,19,302,69,2,2,8,5
HINDCOPPER,14,1073,294,66,16,384,63,2,2,9,6,90,85,68,23,175,44,2,2,9,5,388,65,26,478,64,-2,2,4,3,216,66,21,306,70,2,2,9,4
HAL,15,1067,297,323,17,375,64,2,2,8,6,78,112,321,28,190,65,2,2,9,6,364,322,18,442,61,-2,2,8,4,216,321,21,294,70,2,2,9,4
SAIL,16,1065,291,450,16,383,63,2,2,8,6,92,100,451,16,192,65,2,2,9,6,376,450,21,468,61,-2,2,8,4,206,450,17,298,69,2,2,8,5
TORNTPOWER,17,1061,315,65,24,405,63,2,2,8,6,90,110,65,26,200,65,2,2,9,6,316,67,20,406,59,-3,2,0,1,230,65,26,320,70,2,2,9,6
CUMMINSIND,18,1060,276,451,18,366,64,-2,2,5,5,90,110,450,28,200,65,2,2,9,4,368,451,15,458,63,2,2,5,5,216,449,24,306,65,2,2,9,6
DATAPATTNS,19,1060,291,67,16,340,63,2,2,8,6,49,100,70,21,149,65,-2,2,8,6,408,66,24,457,63,2,2,5,6,212,70,19,261,69,2,2,8,6
IRCTC,20,1060,294,5,17,349,63,2,2,8,6,55,101,7,23,156,66,-3,2,8,5,400,3,21,455,63,2,2,7,5,210,6,21,265,69,2,2,8,3
SUNDARMFIN,21,1058,294,3,17,385,63,2,2,8,6,91,105,2,21,196,65,2,2,9,6,352,4,23,443,63,-2,2,3,-1,216,1,24,307,69,2,2,8,3
EICHERMOT,22,1058,297,2,19,389,63,2,2,8,5,92,95,4,15,187,65,2,2,8,3,376,2,21,468,63,1,2,2,5,198,3,13,290,70,2,2,8,4
MAHLIFE,23,1057,300,321,19,390,63,2,2,8,6,90,99,322,21,189,65,-3,2,8,6,368,321,16,458,61,2,2,7,4,200,323,15,290,69,2,2,8,4
THERMAX,24,1055,318,226,24,405,63,2,2,9,6,87,110,225,26,197,65,2,2,9,6,320,229,19,407,59,-3,3,2,0,220,225,23,307,69,2,2,9,5
JUBLINGREA,25,1049,297,230,17,341,63,2,2,9,6,44,90,231,13,134,66,-2,2,6,5,420,226,24,464,64,2,2,7,6,198,231,14,242,69,2,2,7,5
GODREJPROP,26,1039,306,161,21,396,63,2,2,8,6,90,101,163,19,191,65,2,2,8,5,324,162,21,414,59,-3,2,1,1,218,162,23,308,69,2,2,8,5
