symbol,allRank,allPoints,d_IndicatorPoints,d_Rank,d_adxPoints,d_allPoints,d_emaPoints,d_kstPoints,d_macdPoints,d_rsiPoints,d_volumePoints,hl_BreakoutPoints,m_IndicatorPoints,m_Rank,m_adxPoints,m_allPoints,m_emaPoints,m_kstPoints,m_macdPoints,m_rsiPoints,m_volumePoints,min75_IndicatorPoints,min75_Rank,min75_adxPoints,min75_allPoints,min75_emaPoints,min75_kstPoints,min75_macdPoints,min75_rsiPoints,min75_volumePoints,w_IndicatorPoints,w_Rank,w_adxPoints,w_allPoints,w_emaPoints,w_kstPoints,w_macdPoints,w_rsiPoints,w_volumePoints
BEL,1,835,100,33,17,193,64,2,2,9,6,93,330,33,26,423,65,2,2,9,6,100,34,24,193,61,2,2,7,4,212,34,21,305,69,2,2,8,4
TORNTPOWER,2,834,105,65,24,195,63,2,2,8,6,90,330,65,26,420,65,2,2,9,6,79,66,20,169,59,-3,2,0,1,230,65,26,320,70,2,2,9,6
ABB,3,833,100,34,24,193,63,-3,2,8,6,93,330,34,26,423,65,2,2,9,6,92,35,17,185,61,2,2,6,4,218,33,21,311,69,2,2,9,6
KSB,4,823,97,449,16,189,63,2,2,8,6,92,330,449,26,422,65,2,2,9,6,108,449,26,200,63,2,2,9,6,196,451,18,288,69,-2,2,8,3
MOTILALOFS,5,823,100,385,19,190,63,2,2,8,6,90,315,385,21,405,65,2,2,9,6,92,385,20,182,64,-2,2,4,4,226,385,24,316,70,2,2,9,6
THERMAX,6,823,106,226,24,193,63,2,2,9,6,87,330,225,26,417,65,2,2,9,6,80,226,19,167,59,-3,3,2,0,220,225,23,307,69,2,2,9,5
EXIDEIND,7,822,105,1,23,198,63,2,2,9,6,93,315,2,21,408,65,2,2,9,6,101,1,28,194,63,-2,2,9,1,208,2,21,301,69,-2,2,9,5
CUMMINSIND,8,820,92,451,18,182,64,-2,2,5,5,90,330,450,28,420,65,2,2,9,4,92,451,15,182,63,2,2,5,5,216,449,24,306,65,2,2,9,6
HAL,9,820,99,322,17,177,64,2,2,8,6,78,336,321,28,414,65,2,2,9,6,91,322,18,169,61,-2,2,8,4,216,321,21,294,70,2,2,9,4
KEI,10,815,99,289,17,192,63,2,2,9,6,93,324,290,24,417,65,2,2,9,6,99,289,21,192,63,2,2,7,4,200,291,16,293,69,2,2,8,3
HINDZINC,11,808,106,225,25,199,62,2,2,9,6,93,294,227,17,387,66,2,2,8,3,105,225,26,198,63,2,2,6,6,210,226,18,303,69,2,2,9,5
SUNDARMFIN,12,808,98,3,17,189,63,2,2,8,6,91,315,3,21,406,65,2,2,9,6,88,3,23,179,63,-2,2,3,-1,216,1,24,307,69,2,2,8,3
PHOENIXLTD,13,806,95,481,15,187,63,2,2,8,5,92,324,481,24,416,65,2,2,9,6,99,481,26,191,61,2,2,6,2,196,482,20,288,69,-2,2,8,1
TATAPOWER,14,806,97,257,16,189,63,2,2,8,6,92,303,259,21,395,65,-2,2,9,6,98,257,24,190,63,2,2,2,5,216,257,23,308,69,2,2,8,4
BLUESTARCO,15,801,96,290,19,184,64,2,2,4,5,88,330,289,26,418,65,2,2,9,6,65,291,18,153,47,-3,0,-2,5,222,289,24,310,69,2,2,8,6
KPIL,16,800,96,163,20,183,63,2,2,4,5,87,318,162,23,405,64,2,2,9,6,75,162,19,162,55,-3,2,-2,4,224,161,24,311,69,2,2,9,6
GAIL,17,795,95,417,16,184,63,2,2,7,5,89,315,417,21,404,65,2,2,9,6,74,418,19,163,55,-3,0,0,3,222,417,24,311,69,2,2,9,5
GODREJPROP,18,794,102,161,21,192,63,2,2,8,6,90,303,165,19,393,65,2,2,8,5,81,161,21,171,59,-3,2,1,1,218,162,23,308,69,2,2,8,5
AEGISCHEM,19,794,98,35,17,191,63,2,2,8,6,93,291,36,15,384,65,2,2,8,5,108,33,26,201,63,2,2,9,6,204,35,16,297,69,2,2,8,5
SIEMENS,20,790,98,194,21,183,63,1,2,5,6,85,330,193,26,415,65,2,2,9,6,49,194,14,134,47,-3,-2,-3,-4,228,193,26,313,69,2,2,9,6
SAIL,21,789,97,450,16,189,63,2,2,8,6,92,300,451,16,392,65,2,2,9,6,94,450,21,186,61,-2,2,8,4,206,450,17,298,69,2,2,8,5
TATAMOTORS,22,789,88,130,13,173,63,-3,2,7,6,85,321,129,23,406,65,2,2,9,6,83,129,16,168,61,1,2,2,1,212,129,26,297,65,2,2,6,5
DIXON,23,788,101,323,19,173,64,2,2,8,6,72,318,322,23,390,65,2,2,8,6,79,323,18,151,55,2,2,-1,3,218,323,21,290,69,2,2,9,6
NTPC,24,788,98,259,17,185,63,2,2,8,6,87,330,257,26,417,65,2,2,9,6,69,259,21,156,55,-3,0,-2,-2,204,259,24,291,69,-3,2,5,5
INDIGO,25,787,101,291,21,178,64,2,2,7,5,77,312,291,21,389,65,2,2,9,5,79,290,24,156,55,2,2,-2,-2,218,290,21,295,69,2,2,9,6
BSE,26,783,99,260,19,173,63,2,2,7,6,74,330,258,26,404,65,2,2,9,6,74,260,18,148,55,-3,2,-1,3,206,262,21,280,70,-3,2,8,5
PETRONET,27,782,100,97,19,192,63,2,2,8,6,92,285,100,14,377,65,2,2,8,4,95,97,21,187,63,2,2,2,5,210,97,19,302,69,2,2,8,5
CENTURYTEX,28,781,97,162,17,187,63,2,2,7,6,90,315,163,21,405,65,2,2,9,6,63,163,18,153,49,-3,0,-2,1,216,163,21,306,69,2,2,8,6
MAHLIFE,29,779,100,321,19,190,63,2,2,8,6,90,297,323,21,387,65,-3,2,8,6,92,321,16,182,61,2,2,7,4,200,322,15,290,69,2,2,8,4
"M&M",30,779,97,227,18,187,63,2,2,7,5,90,315,226,21,405,65,2,2,9,6,69,228,18,159,55,-3,0,0,-1,208,227,19,298,69,2,2,8,4
JSWENERGY,31,778,97,258,17,187,63,2,2,8,5,90,297,260,21,387,65,-3,2,9,5,78,258,21,168,55,-3,2,-1,4,216,258,21,306,69,2,2,9,5
MCDOWELL-N,32,778,91,193,13,183,63,2,2,5,6,92,303,194,18,395,65,2,2,8,6,92,193,16,184,63,2,2,4,5,200,194,18,292,70,-2,2,8,4
COCHINSHIP,33,776,97,482,17,167,63,2,2,7,6,70,330,482,26,400,65,2,2,9,6,61,482,20,131,47,-3,0,-2,-1,218,481,26,288,69,-3,2,9,6
BAJAJ-AUTO,34,775,85,5,18,164,62,-3,2,3,3,79,318,5,23,397,64,2,2,9,6,87,4,12,166,63,2,2,4,4,206,4,24,285,66,2,2,4,5
GLENMARK,35,771,98,228,16,173,63,2,2,9,6,75,306,228,19,381,65,2,2,9,5,88,227,21,163,61,-3,2,3,4,204,228,16,279,69,2,2,9,4
CASTROLIND,36,769,95,131,15,170,63,2,2,7,6,75,303,131,19,378,65,2,2,8,5,82,131,19,157,59,-3,2,1,4,214,131,21,289,69,2,2,8,5
EICHERMOT,37,768,99,2,19,191,63,2,2,8,5,92,285,6,15,377,65,2,2,8,3,94,2,21,186,63,1,2,2,5,198,3,13,290,70,2,2,8,4
HEG,38,766,103,354,21,157,63,2,2,9,6,54,291,355,15,345,65,2,2,8,5,104,353,24,158,64,2,2,8,4,214,354,21,268,69,2,2,8,5
IRCTC,39,766,98,6,17,153,63,2,2,8,6,55,303,7,23,358,66,-3,2,8,5,100,5,21,155,63,2,2,7,5,210,6,21,265,69,2,2,8,3
TATAMTRDVR,40,762,87,166,13,169,63,-3,2,6,6,82,327,161,25,409,65,2,2,9,6,68,164,15,150,55,-3,2,-1,0,198,166,24,280,66,-3,2,5,5
DATAPATTNS,41,760,97,69,16,146,63,2,2,8,6,49,300,69,21,349,65,-2,2,8,6,102,67,24,151,63,2,2,5,6,212,70,19,261,69,2,2,8,6
ANANDRATHI,42,756,94,231,16,141,64,2,2,7,3,47,324,230,28,371,65,-2,2,9,6,97,230,21,144,63,2,2,8,1,194,232,24,241,65,-3,2,6,3
HINDCOPPER,43,756,98,66,16,188,63,2,2,9,6,90,255,70,23,345,44,2,2,9,5,97,65,26,187,64,-2,2,4,3,216,66,21,306,70,2,2,9,4
VGUARD,44,754,92,129,12,179,63,2,2,7,6,87,291,132,15,378,65,2,2,8,5,78,130,21,165,55,-3,2,-1,4,206,130,15,293,70,2,2,8,6
INDHOTEL,45,747,68,67,-7,156,64,-2,2,6,5,88,330,66,26,418,65,2,2,9,6,53,68,-15,141,61,2,2,5,-2,208,67,21,296,65,2,2,9,5
IPCALAB,46,745,97,324,16,151,63,2,2,8,6,54,303,324,19,357,65,2,2,8,5,85,324,20,139,59,-2,2,1,5,206,324,20,260,69,-2,2,8,6
BHARTIARTL,47,742,62,421,-4,142,61,-2,2,2,3,80,318,418,21,398,66,2,2,9,6,82,419,14,162,63,2,2,3,-2,200,419,24,280,65,1,2,4,4
MUTHOOTFIN,48,737,104,99,24,153,63,2,2,7,6,49,294,101,17,343,65,2,2,8,4,86,98,19,135,61,-3,2,4,3,204,101,17,253,69,2,2,8,4
