symbol,allRank,allPoints,d_IndicatorPoints,d_Rank,d_adxPoints,d_allPoints,d_emaPoints,d_kstPoints,d_macdPoints,d_rsiPoints,d_volumePoints,hl_BreakoutPoints,m_IndicatorPoints,m_Rank,m_adxPoints,m_allPoints,m_emaPoints,m_kstPoints,m_macdPoints,m_rsiPoints,m_volumePoints,min75_IndicatorPoints,min75_Rank,min75_adxPoints,min75_allPoints,min75_emaPoints,min75_kstPoints,min75_macdPoints,min75_rsiPoints,min75_volumePoints,w_IndicatorPoints,w_Rank,w_adxPoints,w_allPoints,w_emaPoints,w_kstPoints,w_macdPoints,w_rsiPoints,w_volumePoints
BEL,1,509,100,33,17,193,64,2,2,9,6,93,110,33,26,203,65,2,2,9,6,100,34,24,193,61,2,2,7,4,106,34,21,199,69,2,2,8,4
EXIDEIND,2,508,105,1,23,198,63,2,2,9,6,93,105,1,21,198,65,2,2,9,6,101,1,28,194,63,-2,2,9,1,104,2,21,197,69,-2,2,9,5
HINDZINC,3,507,106,225,25,199,62,2,2,9,6,93,98,227,17,191,66,2,2,8,3,105,225,26,198,63,2,2,6,6,105,225,18,198,69,2,2,9,5
KSB,4,505,97,449,16,189,63,2,2,8,6,92,110,449,26,202,65,2,2,9,6,108,449,26,200,63,2,2,9,6,98,451,18,190,69,-2,2,8,3
ABB,5,504,100,34,24,193,63,-3,2,8,6,93,110,34,26,203,65,2,2,9,6,92,35,17,185,61,2,2,6,4,109,33,21,202,69,2,2,9,6
MOTILALOFS,6,500,100,385,19,190,63,2,2,8,6,90,105,385,21,195,65,2,2,9,6,92,385,20,182,64,-2,2,4,4,113,385,24,203,70,2,2,9,6
KEI,7,499,99,289,17,192,63,2,2,9,6,93,108,289,24,201,65,2,2,9,6,99,289,21,192,63,2,2,7,4,100,290,16,193,69,2,2,8,3
TORNTPOWER,8,499,105,65,24,195,63,2,2,8,6,90,110,65,26,200,65,2,2,9,6,79,66,20,169,59,-3,2,0,1,115,65,26,205,70,2,2,9,6
AEGISCHEM,9,498,98,35,17,191,63,2,2,8,6,93,97,36,15,190,65,2,2,8,5,108,33,26,201,63,2,2,9,6,102,35,16,195,69,2,2,8,5
TATAPOWER,10,496,97,257,16,189,63,2,2,8,6,92,101,258,21,193,65,-2,2,9,6,98,257,24,190,63,2,2,2,5,108,257,23,200,69,2,2,8,4
THERMAX,11,493,106,226,24,193,63,2,2,9,6,87,110,225,26,197,65,2,2,9,6,80,226,19,167,59,-3,3,2,0,110,226,23,197,69,2,2,9,5
PHOENIXLTD,12,492,95,481,15,187,63,2,2,8,5,92,108,481,24,200,65,2,2,9,6,99,481,26,191,61,2,2,6,2,98,481,20,190,69,-2,2,8,1
CUMMINSIND,13,492,92,451,18,182,64,-2,2,5,5,90,110,450,28,200,65,2,2,9,4,92,451,15,182,63,2,2,5,5,108,449,24,198,65,2,2,9,6
SUNDARMFIN,14,490,98,3,17,189,63,2,2,8,6,91,105,2,21,196,65,2,2,9,6,88,3,23,179,63,-2,2,3,-1,108,1,24,199,69,2,2,8,3
HAL,15,488,99,322,17,177,64,2,2,8,6,78,112,321,28,190,65,2,2,9,6,91,322,18,169,61,-2,2,8,4,108,322,21,186,70,2,2,9,4
PETRONET,16,487,100,97,19,192,63,2,2,8,6,92,95,98,14,187,65,2,2,8,4,95,97,21,187,63,2,2,2,5,105,97,19,197,69,2,2,8,5
SAIL,17,486,97,450,16,189,63,2,2,8,6,92,100,451,16,192,65,2,2,9,6,94,450,21,186,61,-2,2,8,4,103,450,17,195,69,2,2,8,5
GODREJPROP,18,483,102,161,21,192,63,2,2,8,6,90,101,163,19,191,65,2,2,8,5,81,161,21,171,59,-3,2,1,1,109,161,23,199,69,2,2,8,5
MAHLIFE,19,481,100,321,19,190,63,2,2,8,6,90,99,322,21,189,65,-3,2,8,6,92,321,16,182,61,2,2,7,4,100,321,15,190,69,2,2,8,4
EICHERMOT,20,479,99,2,19,191,63,2,2,8,5,92,95,4,15,187,65,2,2,8,3,94,2,21,186,63,1,2,2,5,99,3,13,191,70,2,2,8,4
HINDCOPPER,21,478,98,66,16,188,63,2,2,9,6,90,85,68,23,175,44,2,2,9,5,97,65,26,187,64,-2,2,4,3,108,66,21,198,70,2,2,9,4
MCDOWELL-N,22,476,91,193,13,183,63,2,2,5,6,92,101,194,18,193,65,2,2,8,6,92,193,16,184,63,2,2,4,5,100,194,18,192,70,-2,2,8,4
KPIL,23,476,96,163,20,183,63,2,2,4,5,87,106,162,23,193,64,2,2,9,6,75,162,19,162,55,-3,2,-2,4,112,162,24,199,69,2,2,9,6
GAIL,24,474,95,417,16,184,63,2,2,7,5,89,105,417,21,194,65,2,2,9,6,74,418,19,163,55,-3,0,0,3,111,417,24,200,69,2,2,9,5
JSWENERGY,25,472,97,258,17,187,63,2,2,8,5,90,99,259,21,189,65,-3,2,9,5,78,258,21,168,55,-3,2,-1,4,108,258,21,198,69,2,2,9,5
BLUESTARCO,26,470,96,290,19,184,64,2,2,4,5,88,110,290,26,198,65,2,2,9,6,65,291,18,153,47,-3,0,-2,5,111,289,24,199,69,2,2,8,6
INDIGO,27,470,101,291,21,178,64,2,2,7,5,77,104,291,21,181,65,2,2,9,5,79,290,24,156,55,2,2,-2,-2,109,291,21,186,69,2,2,9,6
TATAMOTORS,28,469,88,130,13,173,63,-3,2,7,6,85,107,129,23,192,65,2,2,9,6,83,129,16,168,61,1,2,2,1,106,129,26,191,65,2,2,6,5
DIXON,29,467,101,323,19,173,64,2,2,8,6,72,106,323,23,178,65,2,2,8,6,79,323,18,151,55,2,2,-1,3,109,323,21,181,69,2,2,9,6
NTPC,30,466,98,259,17,185,63,2,2,8,6,87,110,257,26,197,65,2,2,9,6,69,259,21,156,55,-3,0,-2,-2,102,259,24,189,69,-3,2,5,5
HEG,31,465,103,354,21,157,63,2,2,9,6,54,97,355,15,151,65,2,2,8,5,104,353,24,158,64,2,2,8,4,107,354,21,161,69,2,2,8,5
"M&M",32,465,97,227,18,187,63,2,2,7,5,90,105,226,21,195,65,2,2,9,6,69,228,18,159,55,-3,0,0,-1,104,227,19,194,69,2,2,8,4
GLENMARK,33,465,98,228,16,173,63,2,2,9,6,75,102,228,19,177,65,2,2,9,5,88,227,21,163,61,-3,2,3,4,102,228,16,177,69,2,2,9,4
CENTURYTEX,34,463,97,162,17,187,63,2,2,7,6,90,105,161,21,195,65,2,2,9,6,63,163,18,153,49,-3,0,-2,1,108,163,21,198,69,2,2,8,6
BSE,35,460,99,260,19,173,63,2,2,7,6,74,110,260,26,184,65,2,2,9,6,74,260,18,148,55,-3,2,-1,3,103,262,21,177,70,-3,2,8,5
CASTROLIND,36,460,95,131,15,170,63,2,2,7,6,75,101,133,19,176,65,2,2,8,5,82,131,19,157,59,-3,2,1,4,107,131,21,182,69,2,2,8,5
BAJAJ-AUTO,37,460,85,5,18,164,62,-3,2,3,3,79,106,5,23,185,64,2,2,9,6,87,4,12,166,63,2,2,4,4,103,4,24,182,66,2,2,4,5
IRCTC,38,459,98,6,17,153,63,2,2,8,6,55,101,7,23,156,66,-3,2,8,5,100,5,21,155,63,2,2,7,5,105,6,21,160,69,2,2,8,3
VGUARD,39,457,92,129,12,179,63,2,2,7,6,87,97,130,15,184,65,2,2,8,5,78,130,21,165,55,-3,2,-1,4,103,130,15,190,70,2,2,8,6
SIEMENS,40,456,98,194,21,183,63,1,2,5,6,85,110,193,26,195,65,2,2,9,6,49,194,14,134,47,-3,-2,-3,-4,114,193,26,199,69,2,2,9,6
DATAPATTNS,41,454,97,69,16,146,63,2,2,8,6,49,100,70,21,149,65,-2,2,8,6,102,67,24,151,63,2,2,5,6,106,70,19,155,69,2,2,8,6
BHEL,42,451,95,418,13,182,64,2,2,8,6,87,87,419,23,174,45,2,2,9,6,83,417,16,170,59,2,2,0,4,99,418,21,186,69,-3,2,5,5
VEDL,43,448,105,419,23,150,63,2,2,9,6,45,85,420,10,130,66,-2,2,8,1,108,420,26,153,63,2,2,9,6,105,420,18,150,69,2,2,9,5
COCHINSHIP,44,447,97,482,17,167,63,2,2,7,6,70,110,482,26,180,65,2,2,9,6,61,482,20,131,47,-3,0,-2,-1,109,482,26,179,69,-3,2,9,6
TATAMTRDVR,45,445,87,166,13,169,63,-3,2,6,6,82,109,164,25,191,65,2,2,9,6,68,164,15,150,55,-3,2,-1,0,99,166,24,181,66,-3,2,5,5
ANANDRATHI,46,443,94,231,16,141,64,2,2,7,3,47,108,230,28,155,65,-2,2,9,6,97,230,21,144,63,2,2,8,1,97,231,24,144,65,-3,2,6,3
